Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
mca5c71b1,/home/farin/SolMutator/contracts/DataLoggingExample.sol,VVR,89,115,5,5,uint256 public storedValue,uint256 private storedValue,live,1145
m177b8679,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,BOR,617,620,21,21," > "," >=  ",live,1217
m814b3810,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,BOR,617,620,21,21," > "," <=  ",live,1210
m8a0c9ee1,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,BOR,617,620,21,21," > "," < ",live,1196
m82bc8a76,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,BOR,617,620,21,21," > "," != ",live,1222
mfb4d3116,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,BOR,617,620,21,21," > "," == ",live,1195
mc3cb700c,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,DLR,1037,1057,37,37,string memory _value,string storage _value,stillborn,413
me178ae75,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,ECS,959,975,33,33,"bytes32(""....."")","bytes1(""....."")",stillborn,409
m22b76c9d,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,EHC,590,641,21,21,"require(dynamicArray.length > 0, ""Array is empty"");","/* require(dynamicArray.length > 0, ""Array is empty""); */",live,1241
me50b15e6,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,382,436,15,15,"function addToDynamicArray(uint256 newValue) external ","function addToDynamicArray(uint256 newValue) public ",live,1198
mc6367f7a,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,382,436,15,15,"function addToDynamicArray(uint256 newValue) external ","function addToDynamicArray(uint256 newValue) internal ",live,1221
m86a3b753,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,382,436,15,15,"function addToDynamicArray(uint256 newValue) external ","function addToDynamicArray(uint256 newValue) private ",live,1198
m9a09e7e5,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,538,581,20,20,"function removeFromDynamicArray() external ","function removeFromDynamicArray() public ",live,1207
m0b55eb77,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,538,581,20,20,"function removeFromDynamicArray() external ","function removeFromDynamicArray() internal ",live,1213
m715c06e7,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,538,581,20,20,"function removeFromDynamicArray() external ","function removeFromDynamicArray() private ",live,1220
m8dc811cb,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,891,928,32,32,"function setFixedSizeString() public ","function setFixedSizeString() external ",live,1255
m9faab127,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,891,928,32,32,"function setFixedSizeString() public ","function setFixedSizeString() internal ",live,1269
m37563531,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,891,928,32,32,"function setFixedSizeString() public ","function setFixedSizeString() private ",live,1201
m5c487d2e,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,1011,1067,37,37,"function setDynamicString(string memory _value) public  ","function setDynamicString(string memory _value) external  ",live,1203
md38db73a,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,1011,1067,37,37,"function setDynamicString(string memory _value) public  ","function setDynamicString(string memory _value) internal  ",live,1207
mebaa27c7,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,FVR,1011,1067,37,37,"function setDynamicString(string memory _value) public  ","function setDynamicString(string memory _value) private  ",live,1199
m54f4d5e0,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,ILR,220,221,9,9,5,4,live,1199
m48f4c008,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,ILR,220,221,9,9,5,6,live,1238
mbcf7ba37,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,ILR,620,621,21,21,0,1,live,1191
m5a134ce5,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,SLR,967,974,33,33,""".....""","""""",live,1233
m849ed040,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,141,164,6,6,uint256 public fixedVar,uint256 internal fixedVar,live,1213
mc9e6e02c,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,141,164,6,6,uint256 public fixedVar,uint256 private fixedVar,live,1225
m979f5b93,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,212,244,9,9,uint256[5] public fixedSizeArray,uint256[5] internal fixedSizeArray,live,1225
m67996247,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,212,244,9,9,uint256[5] public fixedSizeArray,uint256[5] private fixedSizeArray,live,1219
m20e1ab8e,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,305,334,12,12,uint256[] public dynamicArray,uint256[] internal dynamicArray,live,1243
mac5de133,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,305,334,12,12,uint256[] public dynamicArray,uint256[] private dynamicArray,live,1205
m6a2990b4,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,755,785,26,26,bytes32 public fixedSizeString,bytes32 internal fixedSizeString,live,1227
mfaab51f3,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,755,785,26,26,bytes32 public fixedSizeString,bytes32 private fixedSizeString,live,1198
mfb2af810,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,830,857,29,29,string public dynamicString,string internal dynamicString,live,1225
mc636c917,/home/farin/SolMutator/contracts/fixedvsVariableExample.sol,VVR,830,857,29,29,string public dynamicString,string private dynamicString,live,1195
md0517eca,/home/farin/SolMutator/contracts/inheritenceExample.sol,CCD,109,178,7,9,constructor(uint256 _parentVar) {       parentVar = _parentVar;   },,stillborn,422
m6bdffb81,/home/farin/SolMutator/contracts/inheritenceExample.sol,CCD,280,385,16,18,"constructor(uint256 _parentVar, uint256 _childVar) Parent(_parentVar) {       childVar = _childVar;   }",,stillborn,468
m9ce1f882,/home/farin/SolMutator/contracts/inheritenceExample.sol,CCD,476,664,25,28,"constructor(uint256 _parentVar, uint256 _childVar) {       // Creating an instance of Child initializes both parentVar and childVar       myChild = new Child(_parentVar, _childVar);   }",,live,1242
mb6e2bc95,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,669,725,30,30,"function getParentVar() external view returns (uint256) ","function getParentVar() public view returns (uint256) ",live,1200
m82fb243e,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,669,725,30,30,"function getParentVar() external view returns (uint256) ","function getParentVar() internal view returns (uint256) ",live,1199
m0107776c,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,669,725,30,30,"function getParentVar() external view returns (uint256) ","function getParentVar() private view returns (uint256) ",live,1203
me18c4678,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,825,880,35,35,"function getChildVar() external view returns (uint256) ","function getChildVar() public view returns (uint256) ",live,1193
mba798f8b,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,825,880,35,35,"function getChildVar() external view returns (uint256) ","function getChildVar() internal view returns (uint256) ",live,1201
mdfd0ce44,/home/farin/SolMutator/contracts/inheritenceExample.sol,FVR,825,880,35,35,"function getChildVar() external view returns (uint256) ","function getChildVar() private view returns (uint256) ",live,1190
md7481980,/home/farin/SolMutator/contracts/inheritenceExample.sol,MOD,280,350,16,16,"constructor(uint256 _parentVar, uint256 _childVar) Parent(_parentVar) ","constructor(uint256 _parentVar, uint256 _childVar)  ",stillborn,417
mfa3b70ed,/home/farin/SolMutator/contracts/inheritenceExample.sol,RSD,788,815,32,32,return myChild.parentVar();,/* return myChild.parentVar(); */,live,1195
m66e84282,/home/farin/SolMutator/contracts/inheritenceExample.sol,RSD,942,968,37,37,return myChild.childVar();,/* return myChild.childVar(); */,live,1219
m968d3594,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,79,103,5,5,uint256 public parentVar,uint256 internal parentVar,stillborn,420
m191ad142,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,79,103,5,5,uint256 public parentVar,uint256 private parentVar,stillborn,449
m71c34dd8,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,251,274,14,14,uint256 public childVar,uint256 internal childVar,stillborn,425
m34901592,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,251,274,14,14,uint256 public childVar,uint256 private childVar,stillborn,406
m9925744b,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,450,470,23,23,Child public myChild,Child internal myChild,live,1188
m6bf8d610,/home/farin/SolMutator/contracts/inheritenceExample.sol,VVR,450,470,23,23,Child public myChild,Child private myChild,live,1183
mee954533,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,CCD,372,451,14,16,constructor() {        // No gas cost for declaring without initializing    },,live,1228
m75757dd7,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,457,496,18,18,"function initializeWithZero() external ","function initializeWithZero() public ",live,1187
mbbe9876a,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,457,496,18,18,"function initializeWithZero() external ","function initializeWithZero() internal ",live,1214
mbe462a66,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,457,496,18,18,"function initializeWithZero() external ","function initializeWithZero() private ",live,1196
m1fff913b,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,541,583,22,22,"function initializeWithNonZero() external ","function initializeWithNonZero() public ",live,1211
mda1ff493,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,541,583,22,22,"function initializeWithNonZero() external ","function initializeWithNonZero() internal ",live,1219
mf72ec357,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,541,583,22,22,"function initializeWithNonZero() external ","function initializeWithNonZero() private ",live,1164
m99954d12,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,632,682,26,26,"function reInitializeFromNonZeroToZero() external ","function reInitializeFromNonZeroToZero() public ",live,1176
m66f280b9,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,632,682,26,26,"function reInitializeFromNonZeroToZero() external ","function reInitializeFromNonZeroToZero() internal ",live,1197
m37cc37b5,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,632,682,26,26,"function reInitializeFromNonZeroToZero() external ","function reInitializeFromNonZeroToZero() private ",live,1213
mf997d9d6,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,756,820,31,31,"function reInitializeFromNonZeroToNonZero(uint _value) external ","function reInitializeFromNonZeroToNonZero(uint _value) public ",live,1189
maf2ea626,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,756,820,31,31,"function reInitializeFromNonZeroToNonZero(uint _value) external ","function reInitializeFromNonZeroToNonZero(uint _value) internal ",live,1199
mda8e42d7,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,756,820,31,31,"function reInitializeFromNonZeroToNonZero(uint _value) external ","function reInitializeFromNonZeroToNonZero(uint _value) private ",live,1189
mff1926ab,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,905,966,36,36,"function reInitializeFromZeroToNonZero(uint _value) external ","function reInitializeFromZeroToNonZero(uint _value) public ",live,1200
m9966d16b,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,905,966,36,36,"function reInitializeFromZeroToNonZero(uint _value) external ","function reInitializeFromZeroToNonZero(uint _value) internal ",live,1174
m4691c316,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,905,966,36,36,"function reInitializeFromZeroToNonZero(uint _value) external ","function reInitializeFromZeroToNonZero(uint _value) private ",live,1197
mdb3e5baf,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1044,1091,41,41,"function reInitializeFromZeroToZero() external ","function reInitializeFromZeroToZero() public ",live,1181
m7b46fe9e,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1044,1091,41,41,"function reInitializeFromZeroToZero() external ","function reInitializeFromZeroToZero() internal ",live,1195
mc808a93e,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1044,1091,41,41,"function reInitializeFromZeroToZero() external ","function reInitializeFromZeroToZero() private ",live,1184
m33b06e97,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1158,1207,46,46,"function setInitializedVar(uint _value) external ","function setInitializedVar(uint _value) public ",live,1193
mb79f342d,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1158,1207,46,46,"function setInitializedVar(uint _value) external ","function setInitializedVar(uint _value) internal ",live,1175
m838ffb58,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,FVR,1158,1207,46,46,"function setInitializedVar(uint _value) external ","function setInitializedVar(uint _value) private ",live,1180
ma1956b8d,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,527,528,19,19,0,1,live,1205
m6826098c,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,617,619,23,23,42,41,live,1183
md66cdcc9,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,617,619,23,23,42,43,live,1207
me5b0f021,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,711,713,27,27,45,44,live,1249
meab737df,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,711,713,27,27,45,46,live,1203
m312ce57f,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,742,743,28,28,0,1,live,1193
m99915b86,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,890,892,33,33,45,44,live,1189
mb52d8ec4,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,890,892,33,33,45,46,live,1207
mc53aadd5,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,995,996,37,37,0,1,live,1191
mb05d92bf,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,1117,1118,42,42,0,1,live,1174
m05faeea7,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,ILR,1144,1145,43,43,0,1,live,1194
m0c4fd108,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,94,122,5,5,uint public uninitializedVar,uint internal uninitializedVar,live,1185
m8c12535d,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,94,122,5,5,uint public uninitializedVar,uint private uninitializedVar,live,1216
m74de6a7d,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,128,154,6,6,uint public initializedVar,uint internal initializedVar,live,1188
m256ebfc5,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,128,154,6,6,uint public initializedVar,uint private initializedVar,live,1188
mb0eaa68c,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,160,190,7,7,uint public zeroInitializedVar,uint internal zeroInitializedVar,live,1189
m94c285ee,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,160,190,7,7,uint public zeroInitializedVar,uint private zeroInitializedVar,live,1191
m37ff5b3f,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,196,229,8,8,uint public nonZeroInitializedVar,uint internal nonZeroInitializedVar,live,1181
md0d324ca,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,196,229,8,8,uint public nonZeroInitializedVar,uint private nonZeroInitializedVar,live,1183
m26db0b86,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,235,263,9,9,uint public nonZeroToZeroVar,uint internal nonZeroToZeroVar,live,1164
m71dbd7a2,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,235,263,9,9,uint public nonZeroToZeroVar,uint private nonZeroToZeroVar,live,1188
mdd2b1516,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,269,300,10,10,uint public nonZeroToNonZeroVar,uint internal nonZeroToNonZeroVar,live,1184
m4c6b1265,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,269,300,10,10,uint public nonZeroToNonZeroVar,uint private nonZeroToNonZeroVar,live,1192
m0743a0c1,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,306,334,11,11,uint public zeroToNonZeroVar,uint internal zeroToNonZeroVar,live,1205
mbb208336,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,306,334,11,11,uint public zeroToNonZeroVar,uint private zeroToNonZeroVar,live,1174
mb67db7d7,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,340,365,12,12,uint public zeroToZeroVar,uint internal zeroToZeroVar,live,1176
m0e8ef309,/home/farin/SolMutator/contracts/Initiazlie&Reinitialize.sol,VVR,340,365,12,12,uint public zeroToZeroVar,uint private zeroToZeroVar,live,1181
m9094b656,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,399,402,14,14," < "," <= ",live,1194
m8247918d,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,399,402,14,14," < "," >=  ",live,1201
m6954bc30,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,399,402,14,14," < "," > ",live,1226
m7214e7a1,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,399,402,14,14," < "," != ",live,1207
m32b3921e,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,399,402,14,14," < "," == ",live,1195
ma53c28a1,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,818,821,31,31," < "," <= ",live,1185
mbc6813c5,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,818,821,31,31," < "," >=  ",live,1210
m531e8b0d,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,818,821,31,31," < "," > ",live,1200
m74fb54b6,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,818,821,31,31," < "," != ",live,1175
m99f798b0,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,818,821,31,31," < "," == ",live,1200
ma87437b0,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,1239,1242,48,48," < "," <= ",live,1232
mbeb01798,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,1239,1242,48,48," < "," >=  ",live,1176
m6a1f6951,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,1239,1242,48,48," < "," > ",live,1235
m5035f874,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,1239,1242,48,48," < "," != ",live,1202
md181b945,/home/farin/SolMutator/contracts/loopingExample.sol,BOR,1239,1242,48,48," < "," == ",live,1192
m776066df,/home/farin/SolMutator/contracts/loopingExample.sol,DLR,130,155,6,6,uint256[] memory localArr,uint256[] storage localArr,stillborn,459
mcaab1bb1,/home/farin/SolMutator/contracts/loopingExample.sol,DLR,539,564,22,22,uint256[] memory localArr,uint256[] storage localArr,stillborn,410
me8c18069,/home/farin/SolMutator/contracts/loopingExample.sol,DLR,957,982,39,39,uint256[] memory localArr,uint256[] storage localArr,stillborn,428
m7634eaeb,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,91,120,5,5,"function loopCheck1() public ","function loopCheck1() external ",live,1201
m0987866f,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,91,120,5,5,"function loopCheck1() public ","function loopCheck1() internal ",live,1418
m281fcd28,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,91,120,5,5,"function loopCheck1() public ","function loopCheck1() private ",live,1477
ma139eb9c,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,500,529,21,21,"function loopCheck2() public ","function loopCheck2() external ",live,1224
ma78b1fd1,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,500,529,21,21,"function loopCheck2() public ","function loopCheck2() internal ",live,1309
m17db34f5,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,500,529,21,21,"function loopCheck2() public ","function loopCheck2() private ",live,1226
m7b5fcd7f,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,918,947,38,38,"function loopCheck3() public ","function loopCheck3() external ",live,1445
mff5b5c90,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,918,947,38,38,"function loopCheck3() public ","function loopCheck3() internal ",live,1361
m1eb23948,/home/farin/SolMutator/contracts/loopingExample.sol,FVR,918,947,38,38,"function loopCheck3() public ","function loopCheck3() private ",live,1382
m0800c375,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,172,173,6,6,3,2,live,1361
mdd70d6d5,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,172,173,6,6,3,4,live,1353
mfd34bc2c,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,279,280,9,9,0,1,live,1208
m68bc7f80,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,284,285,9,9,1,0,live,1320
m8c24afa6,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,284,285,9,9,1,2,live,1368
m84676d53,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,304,305,10,10,1,0,live,1201
m522afce6,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,304,305,10,10,1,2,live,1338
md7f6b67f,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,309,310,10,10,2,1,live,1223
m67b79974,/home/farin/SolMutator/contracts/loopingExample.sol,ILR,309,310,10,10,2,3,live,1214
